event_tag,event_name,date,time,image_url,city,location,description,booking_url
Music,U1�s Long Drive - Live In Concert | Coimbatore,2024-10-12,18:00,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1719227521%2Fy7nodqwefavfutmalyxb.jpg",Coimbatore,"Hindusthan college of arts and science, Coimbatore",It's been a long wait for Coimbatore to have the best of Yuvan Shankar Raja vibe and medicine. Come let's get Yuvanfied together & experience the magic in live.,https://insider.in/event/u1s-long-drive-live-in-concert-coimbatore-oct12-2024/buy-page/shows/65cda8bb66eb4b000aaf16e9
Music,D IMMAN KACHERI ARAMBAM,2024-10-05,18:00,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1723900414%2Farcygsjnexw0xecwwgjf.jpg",Coimbatore,"Hindusthan College of Arts & Science, Coimbatore","Our intention is to whisk the audience away from their everyday routines and immerse them in a world of captivating music and electrifying dance. We aim to fill their day with joy and excitement, offering the rare opportunity to see their favorite artists perform live on stage. This event promises to be a thrilling escape, bringing cheer and unforgettable moments to all who attend. Join us for an electrifying musical extravaganza at the D Imman Show, featuring an array of talented singers and musicians who will captivate the audience with their performances. This event is set to be an unforgettable night of music, rhythm, and entertainment.",https://insider.in/event/d-imman-kacheri-arambam-oct5-2024/buy-page/shows/66b1b7f626a61765eec45fca
Music,KING OF KINGS 2024 Karthik Raaja Live in concert Coimbatore,2024-10-19,18:00,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1724393924%2Fiyz1e1fjqwpxgamsrfi8.jpg",Coimbatore,"Hindusthan College of Arts & Science, Coimbatore","BK entertainment and YESS BOSS presents KING OF KINGS 2024, a magnificent music festival curated by renowned music composer Mr.Karthik Raja. This grand event set to take place on Saturday, October 19th, at 6:00 PM at HINDUSTHAN COLLEGE OF ARTS & SCIENCE, located on Avinasi Road, Coimbatore (behind Nava India).The festival will feature an impressive lineup of Indian Music idols, including Hariharan, Unnimenon, Saindavi, Shivangi, Ajay Krishna, Priyanka, Priya Jerson along with numerous other eminent musicians.",https://insider.in/event/king-of-kings-2024-karthik-raaja-live-in-concert-coimbatore-oct19-2024/buy-page
Music,HIPHOP TAMIZHA'S - RETURN OF THE DRAGON MACHI (HOME EDITION) - LIVE IN COIMBATORE,2024-09-08,18:30,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1722925234%2Fanj4pzojq5nrcejmk0vg.jpg",Coimbatore,"Codissia Ground, Coimbatore","Get ready folks. It is Hip Hop Adhi's homecoming. He is ready to set the stage ablaze. A patron of Tamil folk arts , he masterfully merges it with hip hop to produce remarkable musical compositions. A show of high energy you surely can resonate with. Prepare for an unforgettable spectacle�it's sure to be an explosive experience.",https://insider.in/event/hiphop-tamizhas-return-of-the-dragon-machi-home-editon-live-in-coimbatore-sep8-2024/buy-page/shows/66791ae83c96b39d22712b34
Conference,BUSINESS NETWORKING '24,2024-09-07,13:30,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1722605579%2Fiot6vdspzodaxacjzmoc.jpg",Coimbatore,"Best coworking space Aztech coworking space nilgiris, Coimbatore","Coimbatore BUSINESS NETWORK | BUSINESS NETWORKING. Coimbatore Business Network the ultimate meetup for professionals seeking to connect exchange sales opportunities expand their business networks and engage in insightful discussions on industry-related topics. This curated event provides a platform for entrepreneurs business owners and professionals to foster meaningful connections and explore collaborative opportunities | English",https://insider.in/event/coimbatore-business-networking-24-sep7-2024/buy-page/shows/66ace0acf756b2432c705bb7/Tickets
Conference,GLOBAL STARTUPS CLUB l STARTUP NETWORKING | Coimbatore,2024-09-07,13:30,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1722604577%2Fwnyoy8qngwknedcmd8zs.jpg",Coimbatore,"Best coworking space Aztech coworking space nilgiris, Coimbatore",Introducing Global Startups Club - a networking hub & community powered by 3X Events Mojo Capital 100x Brands Gamezone & Proconnxt that will meet once a month over tea & coffee. Our mission is to bring together talented founders experts consultants influential leaders and startup professionals. Business community will come together for a well curated agenda driven 2.5 hrs offline meet showcasing their businesses,https://insider.in/event/global-startups-club-l-startup-networking-coimbatore-sep7-2024/buy-page/shows/66acdcbafd0687f426dd6860/Tickets
Conference,Entrepreneurs Meetup by We Founders Collab Coimbatore,2024-09-07,13:30,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1723100647%2Fid46csbtrgpxywtlzqcs.jpg",Coimbatore,"Best coworking space Aztech coworking space nilgiris, Coimbatore", Entrepreneurs Meetup powered by We Founders Collab is a vibrant gathering designed exclusively for entrepreneurs seeking networking opportunities and valuable connections. Join us to,https://insider.in/event/entrepreneurs-meetup-by-we-founders-collab-coimbatore-sep7-2024/buy-page/shows/66b46e95c3a6cd6bdc3ace1a/Tickets
Arts and Crafts ,Acrylic Painting,2024-09-01,10:00,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-acrylic-painting-0-2024-3-28-t-5-7-0.jpg,Coimbatore,"243, Alagesan Road, Near GCT College, Saibaba Colony, Coimbatore, Tamil Nadu 641011, India", Immerse Yourself in Acrylic Painting!,https://in.bookmyshow.com/events/acrylic-painting/ET00392281/booking-step/venue
Music,Sajanka live at Sunburn Union,2024-09-22,19:30,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1723004792%2Fu93pesmyqwn5dnee607w.jpg",Bengaluru,"Sunburn Union, Bengaluru","Prepare for an unforgettable night with Sajanka, the acclaimed musician from Israel, known for crafting mesmerizing soundscapes and infectious rhythms. Join us on the 22nd of September at Sunburn Union for a live performance that promises to be a unique celebration of music and energy.",https://insider.in/event/sajanka-live-at-sunburn-union-sep22-2024/buy-page/shows/66a8e9db50bb2a3e655ad8f8/Tickets
Conference,TechSparks Bangalore 2024,2024-09-26,10:00,"https://res.cloudinary.com/dwzmsvp7f/image/upload/q_75,f_auto,w_800/c_crop%2Cg_custom%2Fv1724649756%2Frb0rcojjwtedxxscejet.png",Bengaluru,"Taj Yeshwantpur, Bengaluru, Bengaluru","Experience the pinnacle of innovation at TechSparks 2024, YourStory's premier event where visionaries, innovators, and tech enthusiasts come together to shape the future. Celebrating its 15th year, this summit promises unparalleled insights, networking opportunities, and groundbreaking ideas that will redefine the technology landscape.",https://insider.in/event/techsparks-bangalore-2024-sep26-2024/buy-page/shows/66a888afa36198ec3e814cef/Tickets
